No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,ProjectStructure,Use Astro pages and layouts intentionally,Keep route files lean and share chrome in layouts,Create reusable layouts and page-specific Astro files,Duplicate shell markup in every page,<MainLayout><Hero/></MainLayout>,Each page repeats header footer,Medium,https://docs.astro.build/en/basics/layouts/
2,Rendering,Prefer Astro islands for interactivity,Keep most of the page static and hydrate only what needs JS,Use client directives on isolated interactive components,Ship whole pages as hydrated SPA by default,<NewsletterForm client:load />,<Page client:load />,High,https://docs.astro.build/en/concepts/islands/
3,Rendering,Choose the right client directive,Hydrate at the moment that matches the UX need,client:visible or client:idle for deferred widgets,Use client:load on everything,<Chart client:visible />,<Chart client:load /> everywhere,High,https://docs.astro.build/en/reference/directives-reference/#client-directives
4,Data,Fetch on the server by default,Astro pages can load data at build or request time,Use frontmatter fetch or server endpoints,useEffect style client fetching for first render,const posts = await getCollection('blog'),Fetch immediately in client widget,Medium,https://docs.astro.build/en/guides/data-fetching/
5,Content,Use content collections for structured content,Schema-backed collections improve safety and tooling,Define collection schemas and query with getCollection,Scatter markdown without schema,defineCollection({ schema: ... }),Random frontmatter conventions,Medium,https://docs.astro.build/en/guides/content-collections/
6,Images,Use Astro image tooling,Optimize images and avoid layout shift,Use Image or Picture from astro:assets,Drop raw img tags everywhere,<Image src={hero} alt="..." />,<img src={hero} />,High,https://docs.astro.build/en/guides/images/
7,Routing,Use file-based routing cleanly,Keep route naming obvious and colocate route assets,Use dynamic routes and content-driven slugs,Invent custom router layers,src/pages/blog/[slug].astro,Manual route registry,Medium,https://docs.astro.build/en/guides/routing/
8,Styling,Keep global styles intentional,Use scoped component styles and one clear global entrypoint,Scope styles to components and central tokens,Let page-level CSS sprawl unpredictably,<style> scoped rules </style>,Many unrelated globals,Medium,https://docs.astro.build/en/guides/styling/
9,Performance,Lean into zero-JS defaults,Astro wins when most UI is static HTML,Ship static content without hydration,Hydrate decorative sections,Static hero and pricing sections,Interactive wrappers around static content,High,https://docs.astro.build/en/concepts/why-astro/
10,Integrations,Use framework integrations deliberately,Bring React/Vue/Svelte only where needed,Choose one client framework per area,Blend many frameworks without reason,astro add react for one widget,Three UI runtimes on one page,Medium,https://docs.astro.build/en/guides/framework-components/
11,Forms,Use API routes or actions intentionally,Choose the simplest server path for form handling,Use Astro endpoints or server actions style patterns,Post to ad-hoc client-only services by default,src/pages/api/contact.ts,Only client-side alert handling,Medium,https://docs.astro.build/en/recipes/build-forms-api/
12,Navigation,Use view transitions when they add clarity,Astro supports smooth navigation without overdoing motion,Use view transitions for app-like navigation,Add heavy page-load animations everywhere,<ViewTransitions />,Large JS animation stack,Low,https://docs.astro.build/en/guides/view-transitions/
13,SEO,Use metadata and semantic content well,Astro sites often care about SEO and crawlability,Set title description canonical and OG tags,Ship generic metadata across pages,<BaseHead title={title} />,One global title for every page,High,https://docs.astro.build/en/guides/seo/
14,Deployment,Pick output mode intentionally,Static and server output solve different problems,Choose static for content-heavy sites and server for request-time needs,Default blindly without matching the product,output: 'static' for marketing site,SSR for a brochure site,Medium,https://docs.astro.build/en/guides/on-demand-rendering/
15,DX,Use the CLI and integrations to stay aligned,Astro tooling captures common setup safely,Use astro add and official integrations,Hand-edit complex config first,npx astro add tailwind,npm package soup with custom wiring,Low,https://docs.astro.build/en/guides/integrations-guide/
